HDI rank;Country;Human Development Index;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita
185;Burundi;0.433;61.6;11.1;3.3;753.91
188;Central African Republic;0.397;53.3;7.6;4.3;993.01
174;Malawi;0.483;64.3;11.2;4.7;1034.68
175;Congo (Democratic Republic of the);0.480;60.7;9.7;6.8;1062.54
189;Niger;0.394;62.4;6.5;2.1;1200.90
181;Mozambique;0.456;60.9;10.0;3.5;1250.41
175;Liberia;0.480;64.1;9.6;4.8;1258.41
187;Chad;0.398;54.2;7.3;2.5;1555.37
179;Yemen;0.470;66.1;8.8;3.2;1593.70
164;Madagascar;0.528;67.0;10.2;6.1;1596.28
167;Togo;0.515;61.0;12.7;4.9;1602.35
182;Sierra Leone;0.452;54.7;10.2;3.7;1667.84
170;Haiti;0.510;64.0;9.7;5.6;1708.81
175;Guinea-Bissau;0.480;58.3;10.6;3.6;1996.04
185;South Sudan;0.433;57.9;5.3;4.8;2003.32
159;Uganda;0.544;63.4;11.4;6.2;2123.27
182;Burkina Faso;0.452;61.6;9.3;1.6;2132.96
160;Rwanda;0.543;69.0;11.2;4.4;2155.33
172;Gambia;0.496;62.1;9.9;3.9;2167.88
173;Ethiopia;0.485;66.6;8.8;2.9;2206.53
169;Afghanistan;0.511;64.8;10.2;3.9;2229.36
151;Solomon Islands;0.567;73.0;10.2;5.7;2253.35
184;Mali;0.434;59.3;7.5;2.4;2268.77
178;Guinea;0.477;61.6;9.4;2.8;2405.18
163;Tanzania (United Republic of);0.529;65.5;8.1;6.1;2599.85
150;Zimbabwe;0.571;61.5;11.0;8.5;2665.61
180;Eritrea;0.459;66.3;5.0;3.9;2793.48
149;Congo;0.574;64.6;11.7;6.5;2879.19
156;Comoros;0.554;64.3;11.2;5.1;3099.45
140;Vanuatu;0.609;70.5;11.7;7.1;3104.80
165;Lesotho;0.527;54.3;11.3;6.5;3150.62
158;Benin;0.545;61.8;12.6;3.8;3254.25
168;Senegal;0.512;67.9;8.6;3.2;3309.39
146;Zambia;0.584;63.9;11.5;7.2;3325.52
142;Nepal;0.602;70.8;12.8;5.0;3456.71
153;Cameroon;0.563;59.3;12.1;6.3;3580.90
151;Syrian Arab Republic;0.567;72.7;8.9;5.1;3613.05
170;Sudan;0.510;65.3;7.9;3.8;3828.66
135;Sao Tome and Principe;0.625;70.4;12.7;6.4;3952.07
125;Tajikistan;0.668;71.1;11.7;10.7;3953.60
136;Micronesia (Federated States of);0.620;67.9;11.5;7.8;3982.74
143;Kenya;0.601;66.7;11.3;6.6;4243.63
144;Cambodia;0.594;69.8;11.5;5.0;4246.18
134;Kiribati;0.630;68.4;11.8;8.0;4259.73
155;Papua New Guinea;0.555;64.5;10.2;4.7;4301.10
141;Timor-Leste;0.606;69.5;12.6;4.8;4440.46
120;Kyrgyzstan;0.697;71.5;13.0;11.1;4864.39
161;Nigeria;0.539;54.7;10.0;6.7;4910.21
147;Myanmar;0.583;67.1;10.7;5.0;4960.53
133;Bangladesh;0.632;72.6;11.6;6.2;4976.21
154;Pakistan;0.557;67.3;8.3;5.2;5005.03
117;Marshall Islands;0.704;74.1;12.4;10.9;5039.04
162;Côte d'Ivoire;0.538;57.8;10.0;5.3;5068.61
157;Mauritania;0.546;64.9;8.6;4.7;5134.57
138;Ghana;0.611;64.1;11.5;7.3;5268.92
128;Nicaragua;0.660;74.5;12.3;6.9;5283.66
132;Honduras;0.634;75.3;10.1;6.6;5308.45
166;Djibouti;0.524;67.1;6.8;4.1;5689.35
148;Angola;0.581;61.2;11.8;5.2;6104.05
111;Samoa;0.715;73.3;12.7;10.8;6308.65
104;Tonga;0.725;70.9;14.4;11.2;6364.58
110;Belize;0.716;74.6;13.1;9.9;6381.60
115;Palestine State of;0.708;74.1;13.4;9.2;6417.39
